NR_110913	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_002231	47	58	22	14	37	5	429	8	330	24	9	237	5	188	180
NM_001204306	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1
NR_038190	25	11	18	18	27	0	25	0	24	0	0	28	0	13	11
NR_038191	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NM_152769	37	30	18	6	21	1	70	4	35	10	0	57	3	35	20
NR_110914	2	4	4	3	13	1	5	0	24	0	0	15	0	10	9
NM_001204307	0	0	0	0	0	0	1	0	3	0	0	0	0	1	1
NM_002232	0	1	2	1	4	0	5	0	4	0	0	1	0	5	6
NR_038192	557	544	345	288	632	5	964	10	902	16	28	793	35	547	562
NR_110915	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
NM_001278380	768	680	362	282	611	95	1342	54	1009	142	39	1295	77	864	738
NM_002233	2	0	2	1	0	0	4	0	1	0	0	0	0	4	3
NR_038193	118	81	60	45	118	5	118	3	133	6	9	141	0	100	96
NM_001278381	127	126	77	58	140	21	262	7	129	6	2	155	3	143	131
NR_110916	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
NM_002234	2	2	0	1	0	0	8	0	4	0	0	2	0	3	4
NR_110917	0	0	2	1	0	0	0	0	1	0	0	1	0	1	2
NM_002235	10	3	1	0	1	0	3	0	6	0	0	0	0	8	3
NR_073090	310	259	146	105	261	5	576	8	426	24	14	526	12	387	372
NR_038194	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
NR_110918	0	1	0	0	0	0	1	0	0	0	0	3	0	2	1
NR_073091	310	259	146	105	261	5	575	8	426	24	14	526	12	387	371
NM_002236	0	2	2	0	0	1	1	0	0	0	0	0	0	1	6
NM_002237	547	395	253	193	428	32	386	6	187	32	19	583	48	348	278
NR_110919	3	3	1	2	2	0	5	0	3	0	0	2	0	0	3
NR_073092	309	258	145	104	259	5	576	8	426	24	14	523	12	385	371
NR_073093	136	145	86	83	157	0	161	1	149	2	4	152	3	118	128
NM_002238	12	11	18	14	23	0	26	0	12	0	0	14	0	16	11
NR_038198	11	45	18	19	23	0	16	1	10	0	0	9	0	13	5
NM_001005849	372	329	243	218	426	6	591	9	555	21	26	623	26	544	505
NR_073094	120	87	45	43	98	2	188	4	146	7	12	169	12	134	149
NM_002239	2	1	1	0	0	0	1	0	0	0	0	2	0	2	3
NM_001278387	925	858	581	560	1033	30	1198	20	769	63	33	964	52	807	827
NR_038199	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
NR_073095	110	79	35	35	82	1	177	4	133	6	11	156	12	132	137
NM_001278388	911	851	563	536	1009	30	1172	20	766	63	31	957	52	792	810
NR_073096	114	132	73	81	96	8	213	1	149	0	9	205	0	164	154
NM_001278389	874	825	577	550	1006	30	1152	20	736	63	33	927	52	775	783
NM_001145093	60	53	37	25	57	0	41	0	30	6	1	60	1	45	37
NR_073097	607	544	342	307	584	15	978	18	818	31	45	861	8	614	586
NM_001166533	2	2	0	0	2	0	2	0	0	0	0	3	0	3	9
NR_073098	443	408	247	243	443	15	703	17	542	26	34	666	6	485	456
NM_001166534	2	2	0	0	1	0	2	0	0	0	0	3	0	3	8
NM_001145095	1	0	0	1	0	0	1	0	0	0	0	0	0	2	1
NM_001257410	1	0	3	2	1	0	2	0	3	0	0	0	0	1	2
NM_001145097	963	978	687	712	1191	32	1941	32	1109	69	96	2045	82	1604	1613
